,F2
0,0.0
1,-610.6070759765902
2,28.71818957358123
3,-210.63276935611046
4,79.68737160866932
5,-78.7246536074472
6,-26.677306058476635
7,-290.0843100544229
8,-46.07788166506271
9,-344.97678431940307
10,-39.95987607734543
11,-220.56968247282398
12,-105.43744942330915
13,-271.0342469385668
14,-54.97551541531185
15,-96.12209325425677
16,-224.5504741769541
17,-94.1676592082878
18,-144.0180572343747
19,-445.73107158253754
20,508.30136158570474
21,57.07159411972561
22,-508.0551397878471
23,224.5206729437045
24,-64.10251307261535
25,6.029724468535415
26,-315.15944235696185
27,492.7469238378805
28,-230.71107768532667
29,-307.2398644611646
30,-15.993609275361228
31,-170.38504124678272
32,3.143571354442293
33,69.26425907653169
34,574.4897460542873
35,113.95331810106731
36,-384.7545863169295
37,-62.397125245089335
38,13.907475245606784
39,98.09475821760823
40,-14.13098988103621
41,345.4350745735122
42,767.6742591757305
43,-265.16074668854
44,-349.0891913922358
45,-194.4461226678439
46,-54.404391720412654
47,142.10514947448306
48,-197.85750455940774
49,18.596845753205294
50,228.15055736107007
51,64.40807474674192
52,-440.8392352746374
53,-362.44918835351484
54,-95.31093181108406
55,-98.53029670170679
56,159.98647239303304
57,-93.01596916214537
58,-inf
59,-1736.7539107773123
60,46.30707712651964
61,-82.65230694222024
62,-119.84136670453648
63,-86.32440864591254
64,257.3809471075296
65,130.5816186162719
66,-142.48574019534178
67,-24.093266446809572
68,515.6518361299162
69,-393.3624846469071
70,167.16253595572854
71,533.0519540252052
72,150.94835044093864
73,-256.5797877027999
74,-244.51856299695152
75,-460.07502080957585
76,206.55055578551676
77,766.9116493818017
78,-180.79886166260235
79,141.96596413620867
80,399.2586570169419
81,570.6924013380766
82,-1028.8219642007305
83,5.137640963393838
84,-301.2630007782015
85,316.1631449466176
86,-250.59270971292324
87,-589.0735383034316
88,-188.8673869786862
89,-268.0948270757124
90,130.99915779129657
91,-12.38638331347167
92,320.7114277659349
93,360.5297140752572
94,725.850688066522
95,-inf
96,558.3733932292388
97,75.94519777751218
98,423.6027363960565
99,-215.09014035393471
100,2582.7008460235506
101,-1069.5643068487498
102,-126.5198551940952
103,462.97949479050243
104,-1178.5678915558626
105,-784.5445000536536
106,915.6662922716044
107,-796.825950095679
108,422.7109774209517
109,273.65265983655405
110,241.52540554030816
111,756.4659533973802
112,-798.1669792222543
113,-239.54462154156673
114,-421.4871103549019
115,-379.38886296691754
116,224.02538032780697
117,-789.082486799727
118,-318.1146218701349
119,-295.2452756955814
120,60.148667671713746
121,370.0390443693425
122,-5.578911307757096
123,-174.66988333736026
124,-602.5131127316266
125,-225.2436151645118
126,378.43110275562645
127,-184.50287497653932
128,-699.9403182681934
129,715.5606732667586
130,151.5922182688065
131,-217.68132962726025
132,214.31392272061268
133,-493.50029411221686
134,101.9779403511157
135,523.1730766964564
136,-210.5890078456192
137,136.77467772598303
138,-38.25916023760805
139,-517.5917466013127
140,-444.4043012426214
141,139.01190479281618
142,-59.44826224233562
143,171.81854034083517
144,304.12702214260065
145,-495.3861410550583
146,101.95523509313243
147,48.17125877009585
148,428.0754557032536
149,116.18360410390825
150,-386.2848686474246
151,-164.8554211877867
152,-355.43804769012297
153,143.4733740703107
154,127.23331581307836
155,-5.006457206293435
156,63.011188356592115
157,519.0901944094618
158,111.49474839604777
159,-54.245045902342675
160,174.2998809737852
161,543.2723363598359
162,232.80034229543492
163,664.2432839550693
164,339.0072780376383
165,26.731285068355188
166,-507.86050212987703
167,-132.14220192061558
168,153.17252914104813
169,1045.3060256358706
170,-289.81394779619274
171,635.043698921182
172,-585.2527767317413
173,-inf
174,-215.9049377805606
175,312.6436950036149
176,-304.0844366355844
177,314.8458730975787
178,-410.2971117210138
179,260.7170929322021
180,-267.27130581105126
181,19.218937722617717
182,83.65919380631965
183,313.8737070659745
184,428.1795150750477
185,382.123030268887
186,86.1118424051869
187,-485.01944268067837
188,-674.6126907965129
189,-40.15359455636772
190,362.7056028354966
191,-168.9669117345455
192,-17.257409256981315
193,-223.32914764299045
194,-13.416311423774916
195,255.95442249322357
196,151.75129644523247
197,-57.086182953140074
198,-149.9294854462089
199,-223.89623759712495
200,-112.50123434504552
201,62.16564307608457
202,224.63422221320357
203,229.89199826448854
204,-85.94434839331376
205,-168.20615290579295
206,-66.77955761127802
207,-93.60577613535524
208,94.17102746800899
209,53.325368357505745
210,465.42203022129854
211,-62.62396295476558
212,66.65062712408631
213,77.30363686919914
214,645.7812964129371
215,690.176356887485
216,105.57084735544952
217,4.375845057836629
218,228.8649099288573
219,-253.9334196934823
220,-179.07560013770575
221,-177.76316271830564
222,24.98507286069372
223,29.545391658888146
224,245.5344039259386
225,406.6356627186172
226,-172.7632455008419
227,785.0956141623495
228,-291.8689765057156
229,211.88560519644622
230,-332.74690661858546
231,-604.5938481221157
232,-295.5567233617395
233,-369.7688293051636
234,115.68894564684187
235,3.479199129954062
236,-573.6502976919712
237,16.960958490046938
238,-193.47176834369887
239,145.75012439583188
240,-137.2237851186381
241,29.040806828822994
242,328.5651410076221
243,-317.890142809968
244,-inf
245,-315.97681673123384
246,-60.35036160585446
247,20.403150817576215
248,198.02784922295703
249,247.17025498206357
250,-197.49374451863167
251,-833.1350380656617
252,340.35053369503237
253,363.2509908885891
254,77.74673019615813
255,101.6873336249063
256,61.13465582857418
257,-189.08206558405493
258,-181.47326277486724
259,-242.09657506063033
260,49.06021108921106
261,295.95120363179785
262,-292.2172977849026
263,193.8874578872715
264,-133.1619640472438
265,86.49706912230124
266,183.43742032302865
267,-25.856650763908064
268,-269.7276632132795
269,-168.64627190566904
270,72.31974689124915
271,-29.914150229844868
272,-142.0499709894577
273,-172.07368147694717
274,6.755034198789324
275,93.15802133784989
276,718.4258124303739
277,-167.3731565273759
278,210.13859170810892
279,157.47662328988127
280,30.98779992848892
281,13.672883329519678
282,-282.6219849093728
283,-265.6832722535186
284,-50.13723927630287
285,-224.35037089008372
286,39.26978732651911
287,36.42570689383833
288,-294.9978512088222
289,56.06089168115387
290,-224.012149150245
291,-182.84405450057014
292,-282.94235030944276
293,-316.14976357524796
294,332.8537390881615
295,47.15989902368138
296,-287.49357476995334
297,488.5306887459708
298,328.7753366919451
299,-157.22961730457257
300,-159.5388589268919
301,-173.874346021805
302,-93.8555824278374
303,252.73688679224938
304,228.43282082725537
305,-198.69307997739986
306,175.31808553063857
307,103.50423977204413
308,-283.1336821035257
309,-535.0157939842591
310,177.50406665688368
311,777.4725131018972
312,109.70783757680157
313,-603.313449915878
314,181.20778176888373
315,-274.878813790561
316,-99.77878997496711
317,410.6425146783097
318,-10.964268471007896
319,28.177977593658614
320,-156.2563211914455
321,-92.0345282603627
