,F1
1257,34377.30933614193
1258,-332027.8381133655
1259,-427082.4912468586
1260,215822.66479503032
1261,138965.1955633062
1262,916172.5995187403
1263,301453.01250402373
1264,-22953.27394145303
1265,-273298.5087134508
1266,-49840.74140294453
1267,-140986.68270707136
1268,757324.5021277664
1269,-212860.65566318942
1270,-94609.98643474164
1271,123765.49481103089
1272,42186.1759359512
1273,-372592.82967345946
1274,-55055.507404080345
1275,243731.7163776743
1276,748113.1262554439
1277,-119584.33019314986
1278,408501.339237072
1279,11482.595742462398
1280,348156.6269379266
1281,-31389.758695294473
1282,219264.64593633165
1283,292226.0126457276
1284,1100216.0232686144
1285,390175.8442742126
1286,-739979.8019354031
1287,609757.3810558324
1288,9077.042351714234
1289,-324835.26124912157
1290,-634487.4039018863
1291,166895.80182650388
1292,241336.79334859728
1293,-167259.857166559
1294,112651.83067940091
1295,986343.6627079913
1296,350239.9541337681
1297,-567722.0316484123
1298,955961.6585485473
1299,-388056.36747528665
1300,-804683.7530635339
1301,-467025.2471332715
1302,533364.3743616787
1303,854586.5740214554
1304,-138287.28342014307
1305,2284604.947775729
1306,113055.46723542699
1307,1624433.2466884183
1308,1770631.6561084704
